Note,Unigram,Bigram,Trigram
"California Humanities is an independent non-profit partner of the National Endowment for the Humanities,  nthat promotes the humanities in California in order to help create &ldquo;a state of open mind.' -- Note added 3/10/15 15:07",state,,
"CaliforniaVolunteers, the state office that manages programs and initiatives aimed at increasing the number of Californians engaged in service and volunteering -- Note added 11/22/13 14:11","state,office",,
CA State Independent Living Counsel advocates for persons with disabilities to enable them to live independently. n  -- Note added 3/5/15 22:35,state,,
California State Teachers Retirement System -- Note added 3/9/15 15:17,state,,
Nebraska State Capitol -- Note added 12/6/13 19:48,state,,
"Caswell Developmental Center, NC Division of State Operated Healthcare Facilities -- Note added 6/6/13 18:08","state,nc,division",,
"California Environmental Health Tracking Program, California Department of Public Health -- Note added 10/24/14 12:09","department,health,public",public health,
Univ of Kentucky Extension website -- Note added 8/27/15 16:14,,,
"Hawaii-Pacific Area Combined Federal Campaign - geographic area includes the State of Hawaii, Guam, Northern Marianas Islands, and American Samoa -- Note added 6/12/13 13:14",state,,
"Tristate CFC, Indiana -- Note added 8/27/15 14:19",,,
"College Foundation of North Carolina, a service of the State of North Carolina -- Note added 7/24/13 16:09","carolina,north",north carolina,
"Chesapeake Bay Program, Restoration of the Chesapeake Bay http://www.chesapeakebay.net -- Note added 11/20/13 16:26",,,
Pennsylvania's Children's Health Insurance Program (CHIP) -- Note added 6/6/13 18:08,health,,
Maryland Department of Business and Economic Development -- Note added 1/10/14 19:17,department,economic development,
Connecticut Historical SocietyMuseum and Library -- Note added 12/15/14 6:22,,,
"statesville, nc -- Note added 9/11/15 19:22",nc,,
"Clemson Univ, Sc -- Note added 8/28/15 13:40",,,
Arkansas Commission on Law Enforcement Standards and Training -- Note added 7/17/13 18:34,commission,,
"Coliseum Boulevard Plume (CBP), an area in Montgomery, Alabama, where the groundwater 10-50 feet below land surface contains trichloroethylene (TCE).  Investigation, management, and cleanup of the groundwater is being conducted by the https://www.dot.state.al.us/ Alabama Department of Transportation (ALDOT). -- Note added 9/24/14 16:14",department,,
Travel and Tourism Site for Colorado -- Note added 6/6/13 19:23,"site,tourism,travel","travel tourism,tourism site",travel tourism site
Colorado lottery -- Note added 6/12/13 14:06,lottery,,
"Colorado No Call program. A private company, Data Protection Group, operates this site under contract with the Colorado Public Utilities Commission. -- Note added 7/11/14 5:54","site,commission,public",,
"Upper Colorado River Endangered Fish Recovery Program, U.S. Fish and Wildlife Service -- Note added 7/23/14 13:45",,,
North Carolina DOT Complete Streets -- Note added 1/22/14 18:53,"carolina,north",north carolina,
"Correction Enterprises, North Carolina Department of Public Safety -- Note added 7/24/13 14:00","carolina,north,department,public","north carolina,carolina department",north carolina department
Louisiana Crawfish Promotion and Research Board (LCPRB) -- Note added 9/22/15 16:53,"board,louisiana",,
Georgia Superior Courts -- Note added 8/25/15 14:44,,,
Connecticut State Treasury Unclaimed Property Owners List -- Note added 12/15/14 6:38,state,,
"Center for Technology at the University at Albany, State University of New York -- Note added 6/29/15 15:02",state,new york,
Connecticut lottery -- Note added 6/12/13 14:06,lottery,,
Connecticut State Library -- Note added 7/26/13 16:15,state,,
Travel and Tourism Site for Connecticut -- Note added 6/6/13 19:28,"site,tourism,travel","travel tourism,tourism site",travel tourism site
Clean Water Management Trust Fund  -- Note added 9/11/15 19:49,,,
IL Secretary of State -- Note added 7/1/14 20:19,state,,
Delaware National Guard -- Note added 1/23/14 14:03,,national guard,
"Division of Employment Security (DES), NC Department of Commerce (NCC) -- Note added 9/22/15 14:15","nc,department,division",nc department,
"Massachusetts JobQuest, Massachusetts Deparment of Career Services -- Note added 12/17/14 15:04",services,,
"About the Digital Maine Repository The Digital Maine Repository is one of several services of the Maine State Library to facilitate digitization of - and enhanced access to - collections related to Maine history, genealogy, culture and government. The repository was designed to host a variety of media including books, images, maps and documents, as well as audio and video collections.  -- Note added 12/8/16 22:08","state,services",,
Travel and Tourism Site for Ohio -- Note added 6/6/13 19:30,"site,tourism,travel","travel tourism,tourism site",travel tourism site
Travel and Tourism Site for South Carolina -- Note added 6/6/13 19:30,"carolina,site,tourism,travel","travel tourism,tourism site,south carolina",travel tourism site
Virginia Department of Motor Vehicles -- Note added 6/6/14 20:27,"department,virginia",virginia department,
American Samoa Department of Education -- Note added 4/4/14 10:58,department,department education,
NC Dept of Revenue -- Note added 9/11/15 19:50,nc,,
"Driving95 Corridor Planning and Finance Study website, North Carolina Department of Transportation (NCDOT) -- Note added 9/22/15 16:56","carolina,north,department","north carolina,carolina department",north carolina department
Wisconsin National Guard Drug Control Program -- Note added 1/23/14 14:03,,national guard,
myeatsmartmovemore.com is the 'consumer' site and eatsmartmovemorenc.com is the 'program' site. -- Note added 7/24/13 16:22,site,,
Educational Communications Board of WI -- Note added 8/5/14 5:24,board,,
"Environmental Hearing Board, State of Pennsylvania -- Note added 11/19/13 12:52","state,board",,
Environmental Health Officer Professional Advisory Committee -- Note added 6/14/13 19:13,health,,
Virginia Office of the State Long-Term Care Ombudsman -- Note added 8/27/15 15:01,"state,virginia,office",,
Washington State University ExtensionEnergy Program -- Note added 11/20/14 7:13,state,washington state,
"The Energy Section in the Division of Energy, Mineral and Land Resources  -- Note added 9/11/15 19:55",division,,
Illinois Office of Tourism -- Note added 7/1/14 20:35,"tourism,office",,
environmental help website of NC -- Note added 9/11/15 19:56,nc,,
Nebraska Environmental Trust -- Note added 12/6/13 19:52,,,
This is a site of the east-west gateway Council of Government in the bi-state St. Louis area. -- Note added 10/1/15 20:20,site,,
